time_bucket,gfr_lo,gfr_hi,dow,gap_bucket,avg_yes_price,std_yes_price,n_obs,note
13:30,0.1,0.4,Thu,ALL,0.6008,0.4508,20,OK
13:30,0.1,0.4,Fri,ALL,0.5314,0.3193,6,OK
13:30,0.1,0.4,ALL,small,0.5931,0.4096,42,OK
13:30,0.1,0.4,ALL,large,0.979,0.0258,2,LOW_OBS
13:30,0.4,0.7,ALL,ALL,0.5444,0.4612,30,OK
13:30,0.4,0.7,Mon,ALL,0.01,0.0,2,LOW_OBS
13:30,0.4,0.7,Tue,ALL,0.4949,0.6541,2,LOW_OBS
13:30,0.4,0.7,Wed,ALL,0.646,0.5256,3,LOW_OBS
13:30,0.4,0.7,Thu,ALL,0.6176,0.4629,17,OK
13:30,0.4,0.7,Fri,ALL,0.4807,0.4555,6,OK
13:30,0.4,0.7,ALL,small,0.5519,0.4575,26,OK
13:30,0.4,0.7,ALL,large,0.495,0.5554,4,LOW_OBS
13:30,0.7,99.0,ALL,ALL,0.5205,0.4483,80,OK
13:30,0.7,99.0,Mon,ALL,0.4667,0.4891,13,OK
13:30,0.7,99.0,Tue,ALL,0.5685,0.4081,17,OK
13:30,0.7,99.0,Wed,ALL,0.435,0.452,18,OK
13:30,0.7,99.0,Thu,ALL,0.5529,0.4701,28,OK
13:30,0.7,99.0,Fri,ALL,0.6492,0.4467,4,LOW_OBS
13:30,0.7,99.0,ALL,small,0.5155,0.4477,73,OK
13:30,0.7,99.0,ALL,large,0.5727,0.4873,7,LOW_OBS
13:00,-99.0,-0.5,ALL,ALL,0.5051,0.2235,215,OK
13:00,-99.0,-0.5,Mon,ALL,0.5084,0.2286,55,OK
13:00,-99.0,-0.5,Tue,ALL,0.4316,0.2369,40,OK
13:00,-99.0,-0.5,Wed,ALL,0.5557,0.2459,38,OK
13:00,-99.0,-0.5,Thu,ALL,0.5409,0.1918,47,OK
13:00,-99.0,-0.5,Fri,ALL,0.4811,0.1995,35,OK
13:00,-99.0,-0.5,ALL,small,0.497,0.221,199,OK
13:00,-99.0,-0.5,ALL,large,0.6058,0.2367,16,OK
13:00,-0.5,-0.2,ALL,ALL,0.6682,0.3195,69,OK
13:00,-0.5,-0.2,Mon,ALL,0.6143,0.3566,22,OK
13:00,-0.5,-0.2,Tue,ALL,0.7931,0.323,22,OK
13:00,-0.5,-0.2,Wed,ALL,0.5098,0.3892,8,OK
13:00,-0.5,-0.2,Thu,ALL,0.5955,0.1889,8,OK
13:00,-0.5,-0.2,Fri,ALL,0.7001,0.1178,9,OK
13:00,-0.5,-0.2,ALL,small,0.6767,0.2875,57,OK
13:00,-0.5,-0.2,ALL,large,0.6279,0.4562,12,OK
13:00,-0.2,0.1,ALL,ALL,0.6571,0.3395,67,OK
13:00,-0.2,0.1,Mon,ALL,0.7054,0.1212,8,OK
13:00,-0.2,0.1,Tue,ALL,0.7404,0.3214,7,OK
13:00,-0.2,0.1,Wed,ALL,0.642,0.4126,9,OK
13:00,-0.2,0.1,Thu,ALL,0.6665,0.3652,28,OK
13:00,-0.2,0.1,Fri,ALL,0.584,0.3557,15,OK
13:00,-0.2,0.1,ALL,small,0.6573,0.3298,60,OK
13:00,-0.2,0.1,ALL,large,0.6556,0.4457,7,LOW_OBS
13:00,0.1,0.4,ALL,ALL,0.6171,0.3781,66,OK
13:00,0.1,0.4,Mon,ALL,0.5704,0.3917,14,OK
13:00,0.1,0.4,Tue,ALL,0.6756,0.5509,3,LOW_OBS
13:00,0.1,0.4,Wed,ALL,0.8597,0.1514,12,OK
13:00,0.1,0.4,Thu,ALL,0.5458,0.4188,29,OK
13:00,0.1,0.4,Fri,ALL,0.5713,0.2965,8,OK
13:00,0.1,0.4,ALL,small,0.5989,0.3829,62,OK
13:00,0.1,0.4,ALL,large,0.8997,0.0419,4,LOW_OBS
13:00,0.4,0.7,ALL,ALL,0.7073,0.3635,40,OK
13:00,0.4,0.7,Mon,ALL,0.9722,0.0269,4,LOW_OBS
13:00,0.4,0.7,Tue,ALL,0.6892,0.3726,10,OK
13:00,0.4,0.7,Wed,ALL,0.1369,0.0805,2,LOW_OBS
13:00,0.4,0.7,Thu,ALL,0.7891,0.2984,14,OK
13:00,0.4,0.7,Fri,ALL,0.619,0.4256,10,OK
13:00,0.4,0.7,ALL,small,0.6688,0.3733,35,OK
13:00,0.4,0.7,ALL,large,0.9766,0.0141,5,LOW_OBS
13:00,0.7,99.0,ALL,ALL,0.6011,0.4287,102,OK
13:00,0.7,99.0,Mon,ALL,0.7603,0.3996,16,OK
13:00,0.7,99.0,Tue,ALL,0.533,0.4492,19,OK
13:00,0.7,99.0,Wed,ALL,0.5459,0.4553,22,OK
13:00,0.7,99.0,Thu,ALL,0.7235,0.3615,27,OK
13:00,0.7,99.0,Fri,ALL,0.4154,0.4339,18,OK
13:00,0.7,99.0,ALL,small,0.5706,0.4303,92,OK
13:00,0.7,99.0,ALL,large,0.8814,0.3068,10,OK
12:30,-99.0,-0.5,ALL,ALL,0.522,0.2,205,OK
12:30,-99.0,-0.5,Mon,ALL,0.5274,0.1803,49,OK
12:30,-99.0,-0.5,Tue,ALL,0.5175,0.2256,28,OK
12:30,-99.0,-0.5,Wed,ALL,0.5478,0.2628,39,OK
12:30,-99.0,-0.5,Thu,ALL,0.5032,0.1809,55,OK
12:30,-99.0,-0.5,Fri,ALL,0.5188,0.1542,34,OK
12:30,-99.0,-0.5,ALL,small,0.5224,0.1999,189,OK
12:30,-99.0,-0.5,ALL,large,0.5177,0.2068,16,OK
12:30,-0.5,-0.2,ALL,ALL,0.5724,0.3341,62,OK
12:30,-0.5,-0.2,Mon,ALL,0.6762,0.2945,16,OK
12:30,-0.5,-0.2,Tue,ALL,0.6362,0.4035,14,OK
12:30,-0.5,-0.2,Wed,ALL,0.3042,0.1899,9,OK
12:30,-0.5,-0.2,Thu,ALL,0.5957,0.2157,14,OK
12:30,-0.5,-0.2,Fri,ALL,0.5205,0.4456,9,OK
12:30,-0.5,-0.2,ALL,small,0.5885,0.3046,50,OK
12:30,-0.5,-0.2,ALL,large,0.5052,0.4466,12,OK
12:30,-0.2,0.1,ALL,ALL,0.5917,0.3704,114,OK
12:30,-0.2,0.1,Mon,ALL,0.6349,0.3168,21,OK
12:30,-0.2,0.1,Tue,ALL,0.7879,0.3168,17,OK
12:30,-0.2,0.1,Wed,ALL,0.483,0.4152,31,OK
12:30,-0.2,0.1,Thu,ALL,0.5554,0.3599,32,OK
12:30,-0.2,0.1,Fri,ALL,0.6142,0.3644,13,OK
12:30,-0.2,0.1,ALL,small,0.6071,0.357,101,OK
12:30,-0.2,0.1,ALL,large,0.4727,0.4607,13,OK
12:30,0.1,0.4,ALL,ALL,0.5575,0.3961,33,OK
12:30,0.1,0.4,Mon,ALL,0.2285,0.2807,2,LOW_OBS
12:30,0.1,0.4,Tue,ALL,0.6677,0.3999,5,OK
12:30,0.1,0.4,Wed,ALL,0.629,0.5377,3,LOW_OBS
12:30,0.1,0.4,Thu,ALL,0.5504,0.394,21,OK
12:30,0.1,0.4,Fri,ALL,0.5789,0.5693,2,LOW_OBS
12:30,0.1,0.4,ALL,small,0.5479,0.3881,30,OK
12:30,0.1,0.4,ALL,large,0.654,0.5578,3,LOW_OBS
12:30,0.4,0.7,ALL,ALL,0.6084,0.3833,35,OK
12:30,0.4,0.7,Mon,ALL,0.6862,0.4602,4,LOW_OBS
12:30,0.4,0.7,Tue,ALL,0.3394,0.4622,5,OK
12:30,0.4,0.7,Wed,ALL,0.7026,0.2356,5,OK
12:30,0.4,0.7,Thu,ALL,0.641,0.3704,16,OK
12:30,0.4,0.7,Fri,ALL,0.6165,0.4408,5,OK
12:30,0.4,0.7,ALL,small,0.578,0.3726,30,OK
12:30,0.4,0.7,ALL,large,0.7908,0.4402,5,LOW_OBS
12:30,0.7,99.0,ALL,ALL,0.6092,0.3931,89,OK
12:30,0.7,99.0,Mon,ALL,0.5434,0.491,9,OK
12:30,0.7,99.0,Tue,ALL,0.6812,0.366,22,OK
12:30,0.7,99.0,Wed,ALL,0.5989,0.3863,26,OK
12:30,0.7,99.0,Thu,ALL,0.6183,0.4038,22,OK
12:30,0.7,99.0,Fri,ALL,0.5169,0.403,10,OK
12:30,0.7,99.0,ALL,small,0.5954,0.3921,83,OK
12:30,0.7,99.0,ALL,large,0.7999,0.3899,6,LOW_OBS
12:00,-99.0,-0.5,ALL,ALL,0.5368,0.2089,212,OK
12:00,-99.0,-0.5,Mon,ALL,0.5294,0.2025,47,OK
12:00,-99.0,-0.5,Tue,ALL,0.5017,0.2163,32,OK
12:00,-99.0,-0.5,Wed,ALL,0.639,0.2068,29,OK
12:00,-99.0,-0.5,Thu,ALL,0.553,0.1889,56,OK
12:00,-99.0,-0.5,Fri,ALL,0.4868,0.2177,48,OK
12:00,-99.0,-0.5,ALL,small,0.5396,0.2056,189,OK
12:00,-99.0,-0.5,ALL,large,0.5141,0.2376,23,OK
12:00,-0.5,-0.2,ALL,ALL,0.6399,0.294,87,OK
12:00,-0.5,-0.2,Mon,ALL,0.6227,0.3565,11,OK
12:00,-0.5,-0.2,Tue,ALL,0.6733,0.379,17,OK
12:00,-0.5,-0.2,Wed,ALL,0.6006,0.2839,27,OK
12:00,-0.5,-0.2,Thu,ALL,0.6647,0.2332,23,OK
12:00,-0.5,-0.2,Fri,ALL,0.6524,0.2486,9,OK
12:00,-0.5,-0.2,ALL,small,0.6436,0.2789,62,OK
12:00,-0.5,-0.2,ALL,large,0.6308,0.3346,25,OK
12:00,-0.2,0.1,ALL,ALL,0.6352,0.3641,100,OK
12:00,-0.2,0.1,Mon,ALL,0.7237,0.3519,26,OK
12:00,-0.2,0.1,Tue,ALL,0.5725,0.4047,17,OK
12:00,-0.2,0.1,Wed,ALL,0.6024,0.3404,17,OK
12:00,-0.2,0.1,Thu,ALL,0.7087,0.3122,29,OK
12:00,-0.2,0.1,Fri,ALL,0.3799,0.4077,11,OK
12:00,-0.2,0.1,ALL,small,0.6479,0.352,86,OK
12:00,-0.2,0.1,ALL,large,0.5569,0.4378,14,OK
12:00,0.1,0.4,ALL,ALL,0.584,0.3579,55,OK
12:00,0.1,0.4,Mon,ALL,0.6067,0.3105,7,OK
12:00,0.1,0.4,Tue,ALL,0.5671,0.3412,5,OK
12:00,0.1,0.4,Wed,ALL,0.7642,0.2643,7,OK
12:00,0.1,0.4,Thu,ALL,0.5349,0.3831,35,OK
12:00,0.1,0.4,Fri,ALL,0.9668,,1,LOW_OBS
12:00,0.1,0.4,ALL,small,0.5804,0.3513,52,OK
12:00,0.1,0.4,ALL,large,0.6479,0.5525,3,LOW_OBS
12:00,0.4,0.7,ALL,ALL,0.5994,0.3805,36,OK
12:00,0.4,0.7,Mon,ALL,0.646,0.4102,2,LOW_OBS
12:00,0.4,0.7,Tue,ALL,0.7299,0.3947,11,OK
12:00,0.4,0.7,Wed,ALL,0.6367,0.2082,6,OK
12:00,0.4,0.7,Thu,ALL,0.4019,0.3983,12,OK
12:00,0.4,0.7,Fri,ALL,0.7229,0.3981,5,OK
12:00,0.4,0.7,ALL,small,0.6338,0.3627,34,OK
12:00,0.4,0.7,ALL,large,0.0146,0.0066,2,LOW_OBS
12:00,0.7,99.0,ALL,ALL,0.4733,0.4067,72,OK
12:00,0.7,99.0,Mon,ALL,0.4592,0.4274,10,OK
12:00,0.7,99.0,Tue,ALL,0.3424,0.3094,15,OK
12:00,0.7,99.0,Wed,ALL,0.5804,0.4158,16,OK
12:00,0.7,99.0,Thu,ALL,0.5044,0.4323,21,OK
12:00,0.7,99.0,Fri,ALL,0.4473,0.4662,10,OK
12:00,0.7,99.0,ALL,small,0.4686,0.4059,65,OK
12:00,0.7,99.0,ALL,large,0.5169,0.4445,7,LOW_OBS
11:30,-99.0,-0.5,ALL,ALL,0.5269,0.209,210,OK
11:30,-99.0,-0.5,Mon,ALL,0.5249,0.2526,59,OK
11:30,-99.0,-0.5,Tue,ALL,0.5766,0.1998,25,OK
11:30,-99.0,-0.5,Wed,ALL,0.4802,0.2007,31,OK
11:30,-99.0,-0.5,Thu,ALL,0.51,0.1732,56,OK
11:30,-99.0,-0.5,Fri,ALL,0.5596,0.1938,39,OK
11:30,-99.0,-0.5,ALL,small,0.5254,0.202,191,OK
